점포코드,age_sales,cust_strscount,vip_strscount,sml_salespct,lge_salespct,sml_custport,lge_custport,revisitport,car_regi,f_cnt_grade,f_amt_grade,m_cnt_grade,m_amt_grade,WORK,WK_COUNT,work_e_count,work_l_count,ESSENTIAL,LUXURY,인구증감,제휴사,upperclass,lowclass,purtime,midclass,AVG_PUR,STORE_CNT,SUM,RATE,AGE_REGION_RATE,Y
A1,4.689223385345265,-0.0402562650894053,0.0922238027501185,0.0033605691696851,0.0561536255483632,0.007398923170665,0.0001027118905126,-0.0030069323676114,63801,0,0,-1,0,0.0,-1.0,0.0,-11.0,0.0,0.0,5,1,0.0,0.0,-1,0.0,0,0,0,12,1,1
A12,5.116778551896182,0.026293672248344,-0.1861111111111109,0.0522429034529955,-0.0209772087978258,0.0046844429904002,-0.0001275460535623,0.0206475087440585,195473,0,0,0,0,1.0,-1.0,2.0,-10.0,1.0,1.0,3,1,0.0,0.0,3,46.0,0,0,0,14,1,0
A2,5.380300051282653,-0.0137705590899761,0.0887542087542083,0.0313736715086689,-0.0136184025426202,0.0035142891584539,-2.785347619171612e-05,0.0151705956244347,177518,0,0,0,0,1.0,-2.0,1.0,-10.0,1.0,-1.0,5,1,0.0,1003.0,1,0.0,1,0,0,13,1,0
A20,5.032316243857231,-0.051214441614479,0.0507650217853887,0.0452830969916047,-0.0006134791969316,0.0081947978790084,5.115090158696834e-05,0.0279509655951402,124704,0,0,0,0,1.0,-1.0,1.0,-10.0,1.0,1.0,5,1,0.0,0.0,0,13.0,0,0,0,13,1,0
A24,5.124619547851026,0.0181054663068929,-0.1083158630328444,0.0587533092338,0.0431437275292891,0.0150825228008171,0.0003431436805648,-0.0308357606190025,57200,0,0,-1,0,0.0,-1.0,0.0,-10.0,1.0,1.0,5,1,0.0,0.0,1,0.0,1,0,0,14,1,0
A26,5.654530466924292,0.0056112159636669,0.3611940298507461,0.0078527623054818,-0.0245779854442345,0.0085044953832338,-0.0005276570673969,0.0031463467033817,75070,0,0,-1,0,1.0,0.0,1.0,-9.0,0.0,0.0,5,1,0.0,464.0,0,-13.0,0,-1,-1,12,1,1
A3,5.51285061842313,-0.1520912547528516,-0.4683544303797466,0.060101550045355,-0.0224999010384886,0.013225586966045,-4.933714857379998e-05,0.0152091254752851,72947,-1,0,0,0,1.0,0.0,1.0,-8.0,1.0,0.0,4,1,0.0,0.0,3,0.0,1,0,0,14,1,0
A39,4.162287318749485,-0.0957245724572457,0.5463414634146346,0.0931014576289827,0.028753749572986,0.09368451931942,0.0032792724834464,0.0413591359135913,63240,-1,0,0,1,-1.0,0.0,0.0,-9.0,1.0,1.0,4,1,0.0,0.0,0,0.0,1,-1,0,14,3,1
A5,5.057205940342783,-0.0061660961813898,-0.3357142857142854,0.0715781090750786,-0.0966720956833287,0.0087583474812004,-0.0005765487975301,-0.0397640375792004,95908,-1,0,-1,0,-3.0,0.0,1.0,-10.0,1.0,0.0,4,1,0.0,-449.0,0,0.0,1,-1,0,14,1,0
A9,5.228447308674248,-0.0641095835863541,0.1816849816849819,0.0546200967539391,-0.0253284100241395,0.0193114658515685,-0.0005188594515167,0.0225677680109105,106596,0,0,0,0,2.0,0.0,1.0,-9.0,2.0,-1.0,3,1,0.0,-207.0,-1,0.0,1,-1,0,14,2,0
B1,6.4351436860613305,-0.204670533987803,-1.0,0.3745322902114979,-0.1123224781385589,0.0068452405289748,4.430062531370001e-05,-0.1179532946601219,57605,1,1,0,1,-4.0,0.0,-3.0,-13.0,8.0,0.0,3,2,0.0,-655.0,0,0.0,1,0,0,17,10,0
B10,4.687935058560463,0.114171297809742,-1.371323529411764,0.7620753859638809,-0.2835555454210244,0.009128529618387,-6.258421016759998e-05,0.0191647597254004,103050,-1,0,-1,4,-4.0,0.0,-1.0,-12.0,11.0,1.0,3,2,0.0,1070.0,0,5.0,5,0,2,19,1,0
B11,4.973826519341024,-0.0073451021361412,0.6670168067226889,0.0637309762803034,-0.0222551289921908,0.0008080743698823,6.925611948865166e-05,-0.0148506555325377,72947,0,0,0,0,-1.0,-1.0,-1.0,-12.0,0.0,0.0,4,2,0.0,-93.0,0,0.0,0,-1,0,13,1,1
B12,5.059034621211204,-0.2067628816793894,0.082417582417583,0.1135126037320113,-0.0273481768062765,0.0035599600901392,-0.0001635549070244,-0.0446087786259542,57200,0,0,-1,0,-1.0,0.0,-2.0,-13.0,1.0,-1.0,5,2,0.0,-93.0,1,0.0,0,0,0,14,2,1
B13,4.988790104948315,-0.0251299884086773,-0.2623376623376616,0.1323155195803196,-0.0320618467516629,0.0018065186086984,-1.647617165598168e-05,0.0051001821493624,177518,0,0,0,1,0.0,-2.0,-1.0,-13.0,1.0,1.0,5,2,0.0,-93.0,2,0.0,1,0,0,14,1,0
B14,4.788097114740822,0.0622256031297543,0.0909090909090908,0.0477285026972263,-0.0187255519953879,0.0009936110157452,-3.737611579172547e-05,-0.0088024342534231,72303,0,-1,0,0,0.0,-1.0,-1.0,-12.0,1.0,1.0,4,2,0.0,-143.0,0,0.0,1,0,0,13,1,1
B15,4.791611475698858,-0.103208378048329,-0.4201550387596899,-0.0549260414011352,-0.0132156402911025,-0.0124548533955054,-0.0024461579701414,0.0488842837582799,177518,0,-1,0,0,0.0,0.0,1.0,0.0,-1.0,1.0,5,2,0.0,538.0,0,0.0,0,0,0,12,3,1
B3,5.407528734941131,-0.3408119658119659,0.1818181818181816,-0.0034962250340447,0.0044792542951349,-0.0003006096363425,0.000112762014699,0.0331196581196581,106596,0,-1,0,0,-1.0,0.0,-2.0,-13.0,0.0,0.0,3,2,0.0,-1023.0,0,0.0,0,-1,0,12,2,1
B4,5.505176012048125,0.0472043542800597,-0.3787878787878789,0.0316879040239109,0.0125537794348247,0.0005808312980499,7.741597053400001e-05,0.0183077684314695,72891,0,-1,1,0,-1.0,0.0,-2.0,-12.0,1.0,2.0,5,2,0.0,-1023.0,6,0.0,0,0,0,12,2,1
B41,6.219071796309514,0.0537659508247747,0.1590909090909091,-0.0403187916888659,-0.0150870233609253,-0.0026483464049059,1.7396507226999993e-06,-0.0188297541238717,144451,0,0,0,0,-2.0,0.0,-3.0,-12.0,1.0,-2.0,3,2,0.0,-93.0,-1,0.0,0,0,0,13,2,0
B6,5.042607195032431,-0.0897105778143991,-1.2272727272727284,0.0227539756736315,-0.0056969342242181,0.0004119464236196,-2.9675347308988792e-05,0.0012874652384384,75070,0,0,0,0,0.0,-1.0,-2.0,-14.0,1.0,2.0,5,2,0.0,-93.0,0,0.0,0,0,0,13,1,1
B7,4.823505925491759,0.0878052123458412,-0.0538527032779905,0.0780063461575946,-0.0085299188963232,0.0024026812774433,-2.091336351323486e-06,0.048538435839375,177518,0,0,0,0,0.0,-2.0,-1.0,-13.0,1.0,-2.0,5,2,0.0,-93.0,2,0.0,0,0,0,14,1,0
B8,4.790611224183103,-0.0628197046109511,-0.4978021978021978,0.0814513978356935,-0.0290330536243763,0.0023074824450863,-0.0002136170937721,0.0401657060518731,124704,0,0,0,0,0.0,-1.0,-2.0,-13.0,1.0,0.0,5,2,0.0,-93.0,1,0.0,1,0,0,14,1,1
B9,4.583358011725309,0.0610117689991787,0.2737355811889967,0.4193787278145326,-0.1309397451207594,0.0053625031305881,-7.435470899514971e-06,0.0363835416476598,63801,0,0,0,2,0.0,0.0,-1.0,-13.0,8.0,0.0,5,2,0.0,-93.0,-1,0.0,2,-1,1,17,1,0
C1,4.639122762024947,-0.0661818181818181,-1.0384615384615383,0.1721406600913,-0.110014086327654,0.0006587325568502,-5.4998768494790026e-05,0.076,72947,0,0,-1,0,1.0,0.0,0.0,-14.0,0.0,0.0,4,3,0.0,0.0,0,0.0,1,0,1,15,2,0
C104,1.4232986099179783,0.7268581851345188,3.3666666666666663,0.02437788686246,-0.0153428377948466,0.0011154489682095,-0.0007253061537363,0.1951664386684906,94294,0,0,-1,0,0.0,0.0,0.0,-14.0,0.0,-3.0,6,3,0.0,0.0,7,0.0,0,0,0,14,2,1
C108,5.094246490338492,0.5441595441595442,-0.5,0.0060502649317634,0.0051154444690271,-0.000259741975826,0.0005691479164203,-0.0797720797720797,144451,-1,0,0,0,0.0,0.0,1.0,-14.0,0.0,1.0,3,3,0.0,0.0,-3,0.0,0,0,0,12,2,1
C109,4.508198278939467,-0.3269841269841267,-0.2167832167832166,-0.1122279009874686,0.0669939294002833,-0.000105064047282,-8.108636224880001e-05,0.007936507936508,177518,0,-1,-1,-1,-1.0,-1.0,-1.0,-15.0,1.0,0.0,5,3,0.0,1465.0,3,0.0,0,-1,0,10,2,1
C11,5.105361346050984,0.1924225028702642,-0.7142857142857135,0.0284737767149364,-0.0109676707981444,0.0004250845110072,-2.0086520322700017e-05,-0.0199770378874856,72947,-1,-1,-1,0,0.0,-1.0,0.0,-14.0,1.0,1.0,4,3,0.0,0.0,2,0.0,0,-1,0,13,2,1
C113,14.152240136711498,-1.1,0.5,-0.0698044839862167,0.0148674707616075,-0.0015974440894568,-0.0030537187012407,-0.3333333333333333,148986,-2,-1,2,1,3.0,0.0,3.0,-11.0,-1.0,-5.0,3,3,0.0,-2331.0,2,0.0,0,-1,-1,9,3,1
C114,5.616797917068183,-0.2000000000000001,-1.0,0.0127664715853755,-0.0127664715853756,0.0001105581071427,-0.0001105581071427,0.0,118247,-1,-1,0,1,-1.0,0.0,-1.0,-15.0,1.0,-7.0,5,3,0.0,-1069.0,1,0.0,1,-1,0,12,2,1
C115,3.048644929843676,0.5299145299145298,-3.0,0.0,-0.0145094282069474,0.0,-0.0030382083918822,0.1709401709401709,98875,-1,-1,3,3,,,,,,,4,3,0.0,527.0,1,0.0,0,-1,0,9,2,1
C119,4.76657961008808,0.0728121757177451,-1.9000000000000004,0.2301632543208831,-0.0554401562668962,0.0040733142513175,0.0001592078916011,-0.1451054998270494,177518,-1,0,-1,2,0.0,-1.0,0.0,-13.0,0.0,0.0,5,3,0.0,0.0,0,0.0,1,0,1,16,2,0
C121,6.430160843039381,-0.058479532163743,-1.666666666666667,-0.3010490747175636,0.2546635874809222,-0.002,-0.0019944536882973,-0.165692007797271,94294,-1,-1,1,0,,,,,,,6,3,0.0,0.0,1,0.0,-1,0,0,8,2,1
C124,4.71458773784353,0.0338709677419353,-2.1500000000000004,0.742280368679153,-0.5996001409827252,0.0015071598265078,3.923192606959994e-05,-0.0774193548387096,90627,0,1,-3,4,3.0,0.0,1.0,-15.0,5.0,-1.0,3,3,0.0,0.0,-9,0.0,4,0,2,19,10,0
C127,4.827605722714829,0.0129664769133466,-0.4047619047619042,0.0,-0.0355662845875573,0.0,-0.0014941592917854,-0.0132827324478178,124704,0,-1,1,0,0.0,0.0,1.0,-13.0,1.0,2.0,5,3,0.0,-1625.0,1,0.0,-1,-1,0,11,2,1
C128,3.5493639585526395,-0.3776223776223775,-1.0,0.1786413683524345,-0.1625247355709535,0.0033594624860023,-0.0025268230188915,0.2727272727272727,37040,-1,-1,1,1,2.0,0.0,1.0,-14.0,1.0,0.0,5,3,10.0,-1185.0,6,0.0,0,-1,0,13,3,0
C129,10.332752762326642,0.1702898550724634,-0.8333333333333339,0.03572946660715,0.0207757751714523,0.0027233142885908,-9.69016636883e-05,-0.0217391304347825,177518,-1,-1,3,2,,,,,,,5,3,0.0,-199.0,-4,0.0,1,0,0,14,3,0
C13,5.049701676286887,-0.129237288135593,-3.333333333333333,-0.0115907839872941,0.0039468757480892,-0.0001241285438762,-1.4873115591800012e-05,-0.0220944309927361,177518,0,0,0,0,1.0,0.0,0.0,-13.0,0.0,0.0,5,3,0.0,0.0,0,0.0,0,0,0,13,2,1
C130,-0.0238860662429871,0.4962406015037599,3.0,0.0,-0.0435381337497607,0.0,-0.0068012434352795,-0.0639097744360902,63801,-1,-1,-7,-7,,,,,,,5,3,0.0,2209.0,1,-54.0,0,-1,-1,3,2,1
C133,5.245463485976643,-0.4869281045751634,0.0,0.0,0.0157174437712545,0.0,0.0015795339535098,0.1535947712418299,63801,-1,0,-1,-1,-1.0,0.0,-1.0,-13.0,0.0,-2.0,5,3,0.0,-2117.0,0,0.0,0,0,0,13,2,1
C139,5.336567683862107,0.0410438144329896,-0.8852941176470592,0.0213711132559452,-0.0020602849354443,0.0005823092195204,0.0002534360439301,0.0002577319587628,124704,-1,0,-1,-1,-1.0,0.0,-1.0,-15.0,1.0,0.0,5,3,0.0,0.0,-3,0.0,0,0,0,13,2,1
C14,4.974104366458491,0.2260869565217391,-4.0,0.7536898234127682,-0.6605516768461147,0.0028715642397736,-0.0001906842953121,-0.1860869565217391,106596,0,0,0,3,4.0,0.0,1.0,-14.0,7.0,-1.0,3,3,0.0,-902.0,-5,0.0,4,0,1,19,2,0
C141,4.084294111041153,0.3968253968253972,-0.5,0.0238437695712632,-0.0095817375221074,0.0006257822277847,0.0001862356366083,-0.1031746031746031,39714,-1,-1,-1,-1,0.0,0.0,0.0,-13.0,1.0,-2.0,5,3,0.0,0.0,1,0.0,0,-1,0,10,2,1
C142,6.137070237966668,-0.1825396825396832,-1.5,0.1304095650704211,-0.0888038445180224,0.0025380710659898,0.0002988083666343,0.2063492063492064,148986,0,0,-3,-1,,,,,,,3,3,0.0,0.0,0,0.0,0,-1,-1,9,2,1
C143,3.2394698034743428,-0.1509971509971506,-1.333333333333333,0.074738478836054,-0.0160709717619101,0.0025974025974025,0.0002153032433123,-0.0242165242165242,79946,1,1,0,0,0.0,0.0,0.0,-14.0,-2.0,1.0,4,3,0.0,1802.0,2,0.0,0,0,1,16,10,0
C145,3.9845680412527074,0.428165007112375,0.0,0.0695230493085106,-0.0695230493085106,0.0011558847101875,-0.0011558847101876,-0.0078236130867709,63801,0,0,0,1,0.0,0.0,0.0,-15.0,1.0,5.0,5,3,0.0,10.0,0,41.0,0,-1,0,13,2,1
C146,4.33850138823577,-0.0029455081001463,-0.4749999999999996,0.0148062115857428,-0.0156808455225404,0.0005680204487361,-0.0005918172981368,-0.1132681751238452,75070,0,0,0,1,,,,,,,5,3,0.0,-1969.0,0,0.0,0,0,0,14,3,0
C15,3.333908456290644,-0.0899999999999998,-7.666666666666666,0.1983170483238978,-0.1886037049333498,0.0019063342852612,-0.0014303704585118,-0.1116666666666665,63240,0,0,0,0,-3.0,0.0,0.0,-12.0,2.0,0.0,4,3,0.0,902.0,0,0.0,1,0,1,15,10,0
C154,4.2788936193894855,-0.1435185185185186,-6.0,0.5908354945789047,-0.1716685262526278,0.0030052592036063,0.0019422878927011,0.0046296296296296,195473,0,1,-1,0,-5.0,0.0,0.0,-12.0,2.0,-1.0,3,3,0.0,0.0,0,0.0,2,0,1,18,3,0
C162,4.545575001380222,0.5366847826086958,-0.083333333333333,0.1224751526981922,-0.1048228890311334,0.0027539103929425,-0.0018618497328176,0.0217391304347825,144451,0,0,3,3,0.0,0.0,-1.0,-15.0,2.0,1.0,3,3,0.0,0.0,1,0.0,1,0,0,14,3,1
C163,4.331831300050702,0.6671182907764464,-0.209090909090909,0.0060958858040147,-0.0039105372570359,0.0002200220022001,0.0001116878039338,0.0831683168316832,72303,0,-1,-1,0,0.0,0.0,0.0,-14.0,1.0,0.0,4,3,0.0,-160.0,1,0.0,0,-1,0,13,2,1
C164,6.693722919150929,1.643356643356643,2.333333333333333,0.5099939148033588,-0.0807319545423782,0.0076182838813152,0.0001652891060856,-0.0804195804195804,195473,0,1,-1,-1,0.0,0.0,-1.0,-13.0,3.0,0.0,3,3,0.0,-160.0,-11,0.0,2,0,0,16,2,1
C168,4.912603239263717,0.9196428571428572,0.0,-0.0119511093472858,0.001839818523439,5.380407740196436e-05,-0.0007373310767185,0.044642857142857,57605,-1,0,-1,0,-1.0,0.0,-1.0,-14.0,0.0,0.0,3,3,0.0,0.0,0,41.0,0,0,0,13,3,1
C174,3.824103671706269,-0.0259740259740266,1.0,-0.0100612372115987,0.0100612372115988,0.0001598272138227,-0.0001598272138228,0.1688311688311688,177518,0,0,1,1,3.0,0.0,2.0,-16.0,0.0,6.0,5,3,0.0,709.0,0,0.0,0,-1,0,13,4,1
C176,5.675884714796354,0.5014180374361881,-0.1999999999999997,0.0319126573764285,-0.0047597832206319,0.0007560870626139,-1.7782124642599993e-05,0.0606920022688599,144451,0,0,0,0,0.0,0.0,0.0,-15.0,1.0,0.0,3,3,0.0,160.0,-4,0.0,0,0,0,13,2,1
C178,5.541156378309509,-0.3857142857142857,-1.5,0.2719294520004932,-0.1620002987261609,0.0048304102364433,-0.0008660891264334,-0.0523809523809524,79946,-1,0,-1,-1,-3.0,0.0,1.0,-14.0,1.0,6.0,4,3,0.0,0.0,0,0.0,1,-1,0,12,2,1
C179,12.383507568990067,0.9583333333333336,-13.0,0.1341309252710906,0.0210545965930775,0.0046838407494144,0.0056254376011009,-0.5416666666666666,177518,0,-1,10,7,,,,,,,5,3,0.0,489.0,-2,0.0,0,1,1,17,10,0
C18,4.369911911030499,-0.0386996904024772,0.0,0.0022473453921175,-0.0012860260932646,9.814056814161364e-05,-4.90702840708e-05,-0.0773993808049535,124704,-1,0,0,0,0.0,0.0,0.0,-14.0,1.0,0.0,5,3,0.0,0.0,4,0.0,0,0,0,13,2,1
C181,5.345512710909162,0.6680911680911681,1.666666666666667,0.0044965063072316,-0.0045310966018418,-5.425766504640883e-05,2.7128832523200025e-05,0.1794871794871795,94294,0,1,0,0,0.0,0.0,1.0,-15.0,1.0,-1.0,6,3,0.0,0.0,1,0.0,0,0,0,15,10,0
C185,3.888752230333445,0.0903890160183067,-5.45,0.0833132785988675,-0.0520008954369331,0.0011236381411268,-5.08686077814e-05,-0.0594965675057207,195473,0,0,-1,-1,0.0,0.0,0.0,-14.0,0.0,0.0,3,3,0.0,0.0,-7,0.0,0,0,0,12,2,1
C187,6.477162266133725,-0.1904761904761902,0.0,0.151939360861861,-0.0392992005449285,0.003584229390681,0.0034669443975304,-0.0952380952380952,110960,0,0,0,-1,-1.0,0.0,-1.0,-13.0,0.0,-1.0,7,3,0.0,1625.0,7,0.0,0,0,0,13,9,1
C19,4.744261753079726,0.1597840755735498,2.6428571428571423,-0.4146256507966593,0.3797452472449454,-0.001026674007335,-0.0009576367709216,0.0453441295546559,124704,0,-1,2,1,6.0,0.0,-1.0,-14.0,-1.0,0.0,5,3,0.0,-1062.0,1,0.0,-1,0,-1,8,2,1
C191,5.629421867153702,-0.1182539682539691,-0.2333333333333334,-0.0105408013666995,0.0033185237497277,-0.0003188267176787,-6.794566677279998e-05,0.0246031746031745,177518,-1,0,-1,-1,0.0,-1.0,0.0,-13.0,1.0,0.0,5,3,0.0,0.0,0,0.0,0,0,0,13,2,1
C193,-0.7200905587865591,-0.7373737373737375,2.5,-0.1230840118462177,-0.0430665899256308,-0.0088105726872246,-0.0140386561321382,-0.0707070707070706,95908,1,1,-2,-2,2.0,0.0,2.0,-15.0,0.0,4.0,4,3,0.0,2453.0,0,-41.0,0,0,0,13,10,1
C195,4.7260150639816985,0.0718210361067503,-1.5236842105263158,0.0702322096002827,-0.0351756343605381,0.0005180005180004,0.0021238432676082,0.021585557299843,177518,0,-1,-1,0,0.0,0.0,-1.0,-14.0,1.0,2.0,5,3,0.0,-201.0,0,0.0,0,-1,0,12,2,1
C20,5.486188345335663,0.0119115144639816,-0.8000000000000007,0.0178860690850967,0.0016817955437401,0.0004437163759208,0.000498258002376,-0.0136131593874078,72891,0,0,0,0,1.0,0.0,1.0,-14.0,1.0,0.0,5,3,0.0,-1625.0,0,0.0,0,-1,0,13,2,1
C203,3.5759819680005904,-0.2951388888888888,-4.0,0.1690311908185144,-0.0859134850608178,0.0050770424564904,-0.0014928130658094,-0.0798611111111111,177518,0,1,0,0,1.0,0.0,-1.0,-14.0,1.0,2.0,5,3,0.0,2436.0,0,42.0,1,0,0,15,3,0
C209,3.419218844525112,-0.4615384615384617,-0.5,0.073575205939982,-0.0541827539492723,0.0016447368421051,-0.0002079552329098,-0.1217948717948718,177518,-1,0,1,0,-1.0,0.0,-2.0,-15.0,0.0,-5.0,5,3,0.0,-584.0,1,0.0,0,0,0,12,3,0
C211,1.3378852659900389,0.6565656565656566,-3.5,0.7055451292320073,-0.6633410041064949,0.0038759689922479,0.0018514078691493,0.0303030303030302,124704,1,2,-8,-6,3.0,0.0,-1.0,-15.0,2.0,-2.0,5,3,0.0,0.0,-4,0.0,4,0,2,19,3,0
C212,9.38581037796284,-0.0256410256410259,0.0,-0.0759105385901953,0.2027988876491525,-0.0052421055921,0.009968594240715,0.2615384615384616,195473,-1,-1,-2,-2,,,,,,,3,3,0.0,-756.0,9,0.0,0,0,-1,7,2,1
C213,3.7743229622556456,0.1538461538461542,1.333333333333333,0.0,0.0200128208602282,0.0,0.0001299700273202,-0.1692307692307693,57200,-1,-1,-2,-1,1.0,0.0,0.0,-14.0,1.0,-5.0,5,3,0.0,1371.0,4,42.0,1,-1,0,10,2,1
C215,5.243539906630375,0.1979166666666669,-0.5,0.223364086766113,-0.2147956332414549,0.0002633622423682,0.0001061869076688,-0.0208333333333333,57200,-1,-1,-2,-2,1.0,0.0,0.0,-15.0,1.0,-1.0,5,3,0.0,0.0,-3,0.0,1,-1,0,12,2,1
C218,5.709043536484181,-0.4444444444444446,0.0,0.0,-0.0286445928281477,0.0,-0.0023842447708185,0.0,63801,-1,-1,0,1,,,,,,,5,3,0.0,-1465.0,0,0.0,0,0,-1,11,3,1
C22,3.766049942483853,0.0,-2.5,-0.1005533288588519,0.0049575549731869,-0.0042087542087542,-0.0008102639025333,0.1414141414141414,148986,0,0,-1,-1,1.0,0.0,0.0,-15.0,1.0,-4.0,3,3,0.0,-344.0,0,0.0,0,-1,-1,10,2,1
C225,4.97019324677597,0.5138888888888893,3.0,-0.0879089768510258,0.0879089768510258,0.0018781673271159,-0.0018781673271159,0.0902777777777777,124704,0,0,0,0,0.0,0.0,-1.0,-14.0,0.0,5.0,5,3,0.0,756.0,0,0.0,-1,0,0,13,10,1
